Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Internet_Access,Tutoring_Sessions,Family_Income,School_Type,Physical_Activity,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Electricity_Access,Region,Transport_Mode,Class_Size,Language_Section
23,84,Low,High,No,7,73,Yes,0,Low,Public,3,High School,Near,Male,67,yes,South,Bus,184,Francophone
19,64,Low,Medium,No,8,59,Yes,2,Medium,Public,4,College,Moderate,Female,61,no,West,Bus,86,Bilingual
24,98,Medium,Medium,Yes,7,91,Yes,2,Medium,Public,4,Postgraduate,Near,Male,74,yes,West,Walk,176,Bilingual
29,89,Low,Medium,Yes,8,98,Yes,1,Medium,Public,4,High School,Moderate,Male,71,yes,Centre,Private car,41,Anglophone
19,92,Medium,Medium,Yes,6,65,Yes,3,Medium,Public,4,College,Near,Female,70,no,North West,Bus,41,Bilingual
19,88,Medium,Medium,Yes,8,89,Yes,3,Medium,Public,3,Postgraduate,Near,Male,71,sometimes,Far North,Private car,151,Anglophone
29,84,Medium,Low,Yes,7,68,Yes,1,Low,Private,2,High School,Moderate,Male,67,sometimes,South West,Bike,116,Bilingual
25,78,Low,High,Yes,6,50,Yes,1,High,Public,2,High School,Far,Male,66,yes,Centre,Bike,87,Francophone
17,94,Medium,High,No,6,80,Yes,0,Medium,Private,1,College,Near,Male,69,no,Littoral,Walk,136,Francophone
23,98,Medium,Medium,Yes,8,71,Yes,0,High,Public,5,High School,Moderate,Male,72,sometimes,South,Private car,97,Anglophone
17,80,Low,High,No,8,88,No,4,Medium,Private,4,College,Moderate,Male,68,yes,Adamawa,Taxi,186,Anglophone
17,97,Medium,High,Yes,6,87,Yes,2,Low,Private,2,High School,Near,Male,71,sometimes,Far North,Walk,22,Anglophone
21,83,Medium,Medium,Yes,8,97,Yes,2,Medium,Public,4,High School,Near,Male,70,sometimes,West,Bus,138,Bilingual
9,82,Medium,Medium,Yes,8,72,Yes,2,Medium,Private,3,Postgraduate,Near,Male,66,sometimes,Centre,Taxi,159,Anglophone
10,78,Medium,High,Yes,8,74,Yes,1,Low,Private,4,Postgraduate,Near,Male,65,no,Far North,Private car,152,Francophone
17,68,Medium,Medium,No,8,70,Yes,2,Medium,Private,4,High School,Near,Female,64,no,East,Bike,44,Francophone
14,60,Medium,Low,Yes,10,65,Yes,0,High,Private,3,College,Near,Male,60,yes,Adamawa,Bike,100,Francophone
22,70,Low,Medium,Yes,6,82,Yes,1,Low,Public,3,High School,Near,Female,65,yes,East,Bus,139,Francophone
15,80,Medium,Medium,Yes,9,91,Yes,3,Low,Public,2,College,Moderate,Female,67,yes,Far North,Walk,177,Bilingual
12,75,Medium,High,Yes,7,58,Yes,3,Medium,Private,4,College,Near,Male,66,no,South West,Taxi,145,Anglophone
29,78,Medium,Medium,No,5,99,Yes,0,High,Public,1,High School,Moderate,Female,69,yes,West,Taxi,56,Anglophone
19,99,Medium,High,No,6,84,Yes,1,Medium,Public,3,High School,Near,Male,72,yes,West,Private car,28,Bilingual
20,74,Medium,High,No,8,89,Yes,1,Medium,Public,2,College,Moderate,Female,66,sometimes,South West,Bus,115,Francophone
11,78,High,Medium,Yes,8,100,Yes,1,Low,Public,3,High School,Moderate,Male,66,yes,South,Bike,21,Anglophone
17,65,Low,High,Yes,5,75,Yes,2,Low,Public,3,High School,Near,Female,63,sometimes,South West,Walk,151,Anglophone
21,62,High,Low,Yes,6,54,Yes,0,High,Public,3,Postgraduate,Far,Male,64,sometimes,Adamawa,Bike,170,Francophone
13,91,Low,Medium,No,6,90,Yes,1,High,Public,2,High School,Moderate,Female,65,sometimes,South,Taxi,184,Bilingual
22,83,High,High,Yes,6,94,Yes,0,High,Public,2,College,Moderate,Male,71,no,Centre,Taxi,75,Anglophone
16,90,Medium,Medium,No,4,58,Yes,1,Low,Public,3,High School,Moderate,Female,66,yes,Far North,Bus,75,Francophone
18,66,High,High,No,4,51,Yes,2,Low,Private,2,College,Near,Male,64,no,East,Private car,148,Bilingual
16,83,Low,Medium,No,6,57,Yes,0,High,Public,4,High School,Near,Female,63,sometimes,South,Private car,67,Francophone
31,70,Medium,High,Yes,7,66,Yes,1,High,Public,3,College,Near,Male,69,yes,Adamawa,Private car,63,Bilingual
20,69,Medium,Medium,Yes,8,96,Yes,2,Medium,Public,3,High School,Near,Male,67,no,North West,Bike,66,Anglophone
14,60,High,Medium,No,5,50,Yes,2,Medium,Public,3,College,,Female,61,no,Far North,Walk,65,Francophone
25,65,High,Medium,No,5,90,Yes,2,Medium,Public,3,College,Moderate,Female,68,no,West,Private car,101,Anglophone
13,72,Low,Medium,No,6,93,Yes,1,Low,Public,3,High School,Near,Male,61,no,South West,Walk,52,Anglophone
21,65,Medium,Low,Yes,7,91,Yes,2,Medium,Public,3,High School,Far,Female,64,no,South,Private car,77,Anglophone
8,99,Medium,Medium,No,9,54,Yes,2,Low,Public,5,Postgraduate,Near,Female,67,yes,North West,Walk,182,Anglophone
12,72,Low,Medium,Yes,8,84,Yes,1,Low,Public,5,High School,Near,Female,63,yes,South,Taxi,193,Bilingual
21,65,Low,Medium,Yes,6,98,Yes,1,Medium,Public,4,High School,Near,Male,64,yes,Far North,Private car,124,Francophone
24,68,High,Medium,No,8,56,Yes,3,High,Public,1,College,Near,Male,67,yes,Littoral,Taxi,142,Bilingual
21,84,Medium,Medium,Yes,6,52,Yes,1,Medium,Public,2,College,Far,Female,65,no,Adamawa,Walk,43,Anglophone
19,63,Low,High,No,7,94,Yes,1,Medium,Private,3,High School,Moderate,Male,64,yes,Centre,Private car,87,Bilingual
18,94,Medium,High,Yes,7,82,Yes,3,Medium,Private,2,College,Near,Male,70,no,Adamawa,Walk,36,Bilingual
11,98,Medium,Medium,Yes,9,82,Yes,1,Medium,Private,3,Postgraduate,Far,Male,68,no,South,Walk,169,Bilingual
16,70,Medium,Medium,Yes,8,98,Yes,2,Medium,Public,3,High School,Moderate,Male,65,sometimes,Adamawa,Walk,172,Francophone
