Feature,Importance
numeric__Attendance,0.36646302486201937
numeric__Hours_Studied,0.23131630066902314
numeric__Previous_Scores,0.07261827146255045
numeric__Tutoring_Sessions,0.029465886637311756
numeric__Class_Size,0.025645343289208377
numeric__Physical_Activity,0.020923079196249614
numeric__Sleep_Hours,0.020867281212632118
categorical__Access_to_Resources_High,0.018424672195553996
categorical__Parental_Involvement_High,0.01665232580122795
categorical__Parental_Involvement_Low,0.012558914172464354
categorical__Access_to_Resources_Low,0.009698116439971621
categorical__Family_Income_High,0.009520408447275575
categorical__Region_Centre,0.008396527474220572
categorical__Region_Adamawa,0.007107263473967739
categorical__Transport_Mode_Private car,0.0070985791924648356
